ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration (mins),Score,Scored By,Rank,Popularity,Year
1.0,Cowboy Bebop,26.0,TV,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,"Action, Award Winning, Sci-Fi",24.0,8.75,988000.0,482.0,43.0,1998.0
5.0,Cowboy Bebop: Tengoku no Tobira,1.0,Movie,"Sep 1, 2001","Sunrise, Bandai Visual",Bones,Original,"Action, Sci-Fi",115.0,8.38,219779.0,2092.0,631.0,2001.0
6.0,Trigun,26.0,TV,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,Manga,"Action, Adventure, Sci-Fi",24.0,8.22,380049.0,3602.0,258.0,1998.0
7.0,Witch Hunter Robin,26.0,TV,"Jul 3, 2002 to Dec 25, 2002","Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,"Action, Drama, Mystery, Supernatural",25.0,7.24,44600.0,30982.0,1908.0,2002.0
8.0,Bouken Ou Beet,52.0,TV,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,Manga,"Action, Adventure, Fantasy",23.0,6.93,6891.0,45862.0,5485.0,2004.0
15.0,Eyeshield 21,145.0,TV,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,UNKNOWN,23.0,7.91,90331.0,7812.0,1328.0,2005.0
16.0,Hachimitsu to Clover,24.0,TV,"Apr 15, 2005 to Sep 27, 2005","Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,Manga,"Comedy, Drama, Romance",23.0,7.99,84676.0,6682.0,925.0,2005.0
17.0,Hungry Heart: Wild Striker,52.0,TV,"Sep 11, 2002 to Sep 10, 2003",UNKNOWN,Nippon Animation,Manga,"Comedy, Slice of Life, Sports",23.0,7.54,13750.0,17782.0,4526.0,2002.0
18.0,Initial D Fourth Stage,24.0,TV,"Apr 17, 2004 to Feb 18, 2006",OB Planning,A.C.G.T.,Manga,"Action, Drama",27.0,8.17,109612.0,4342.0,1277.0,2004.0
19.0,Monster,74.0,TV,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,"Drama, Mystery, Suspense",24.0,8.88,440783.0,262.0,126.0,2004.0
20.0,Naruto,220.0,TV,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Pierrot,Manga,"Action, Adventure, Fantasy",23.0,8.0,2012004.0,6582.0,9.0,2002.0
