ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
1,Cowboy Bebop,26,TV,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,"Action, Award Winning, Sci-Fi",24 min. per ep.,8.75,988000,482,43
5,Cowboy Bebop: Tengoku no Tobira,1,Movie,"Sep 1, 2001","Sunrise, Bandai Visual",Bones,Original,"Action, Sci-Fi",1 hr. 55 min.,8.38,219779,2092,631
6,Trigun,26,TV,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,Manga,"Action, Adventure, Sci-Fi",24 min. per ep.,8.22,380049,3602,258
7,Witch Hunter Robin,26,TV,"Jul 3, 2002 to Dec 25, 2002","Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,"Action, Drama, Mystery, Supernatural",25 min. per ep.,7.24,44600,30982,1908
8,Bouken Ou Beet,52,TV,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,Manga,"Action, Adventure, Fantasy",23 min. per ep.,6.93,6891,45862,5485
15,Eyeshield 21,145,TV,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,,23 min. per ep.,7.91,90331,7812,1328
16,Hachimitsu to Clover,24,TV,"Apr 15, 2005 to Sep 27, 2005","Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,Manga,"Comedy, Drama, Romance",23 min. per ep.,7.99,84676,6682,925
17,Hungry Heart: Wild Striker,52,TV,"Sep 11, 2002 to Sep 10, 2003","None found, add some",Nippon Animation,Manga,"Comedy, Slice of Life, Sports",23 min. per ep.,7.54,13750,17782,4526
18,Initial D Fourth Stage,24,TV,"Apr 17, 2004 to Feb 18, 2006",OB Planning,A.C.G.T.,Manga,"Action, Drama",27 min. per ep.,8.17,109612,4342,1277
19,Monster,74,TV,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,"Drama, Mystery, Suspense",24 min. per ep.,8.88,440783,262,126
20,Naruto,220,TV,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Pierrot,Manga,"Action, Adventure, Fantasy",23 min. per ep.,8.00,2012004,6582,9
21,One Piece,Unknown,TV,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,Manga,"Action, Adventure, Fantasy",24 min.,8.72,1383856,572,19
22,Tennis no Oujisama,178,TV,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,Manga,,22 min. per ep.,7.85,85698,9002,1319
23,Ring ni Kakero 1,12,TV,"Oct 6, 2004 to Dec 15, 2004","None found, add some",Toei Animation,Manga,,23 min. per ep.,6.36,1779,77972,8565
24,School Rumble,26,TV,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Media Factory, DAX Production",Studio Comet,Manga,"Comedy, Romance",23 min. per ep.,7.89,151182,8292,752
25,Sunabouzu,24,TV,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC Television, Omnibus Promotion, RKB Mainichi Broadcasting Corporation",Gonzo,Manga,"Action, Adventure, Comedy, Sci-Fi, Ecchi",24 min. per ep.,7.37,56088,24162,1664
26,Texhnolyze,22,TV,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC, Geneon Entertainment USA",Madhouse,Original,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",23 min. per ep.,7.76,59083,10962,969
27,Trinity Blood,24,TV,"Apr 29, 2005 to Oct 28, 2005","None found, add some",Gonzo,Light novel,"Action, Fantasy",24 min. per ep.,7.28,81450,28622,1317
28,Yakitate!! Japan,69,TV,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,"Comedy, Gourmet",24 min. per ep.,7.91,41910,7752,2167
29,Zipang,26,TV,"Oct 8, 2004 to Apr 1, 2005","Marvelous Entertainment, Animax, Pony Canyon, TBS",Studio Deen,Manga,"Action, Drama, Sci-Fi",24 min. per ep.,7.49,8112,19382,4691
30,Shinseiki Evangelion,26,TV,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",24 min. per ep.,8.35,1115935,2272,45
31,Shinseiki Evangelion Movie: Shi to Shinsei,1,Movie,"Mar 15, 1997","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G, Tatsunoko Production",Original,"Action, Drama, Sci-Fi, Suspense",1 hr. 44 min.,7.48,148219,19882,941
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1,Movie,"Jul 19, 1997","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, King Records, Audio Tanaka","Gainax, Production I.G",Original,"Action, Avant Garde, Drama, Sci-Fi, Suspense",1 hr. 26 min.,8.55,639377,1182,178
33,Kenpuu Denki Berserk,25,TV,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror",23 min. per ep.,8.59,368996,992,310
43,Koukaku Kidoutai,1,Movie,"Nov 18, 1995","Bandai Visual, Kodansha",Production I.G,Manga,"Action, Award Winning, Mystery, Sci-Fi, Suspense",1 hr. 22 min.,8.27,338703,3092,337
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,OVA,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,Manga,"Action, Drama, Romance",29 min. per ep.,8.70,139783,612,902
45,Rurouni Kenshin: Meiji Kenkaku Romantan,94,TV,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,"Action, Comedy, Romance",25 min. per ep.,8.28,240416,2942,460
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1,Movie,"Dec 20, 1997","Fuji TV, Sony Music Entertainment",Gallop,Manga,,1 hr. 31 min.,7.55,28011,17382,3118
47,Akira,1,Movie,"Jul 16, 1988","Mainichi Broadcasting System, Kodansha, Pioneer LDC, Bandai, TOHO, Sumitomo, Hakuhodo",Tokyo Movie Shinsha,Manga,"Action, Adventure, Horror, Sci-Fi, Supernatural",2 hr. 4 min.,8.16,526593,4352,209
48,.hack//Sign,26,TV,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,"Adventure, Fantasy, Mystery",24 min. per ep.,6.94,85534,45702,1334
49,Aa! Megami-sama!,5,OVA,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,"Comedy, Romance, Supernatural",30 min. per ep.,7.28,27557,28672,3053
50,Aa! Megami-sama! (TV),24,TV,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,Manga,"Comedy, Romance, Supernatural",24 min. per ep.,7.31,78726,27182,1504
51,Tenshi Kinryouku,3,OVA,"May 25, 2000 to Aug 25, 2000","Bandai Visual, Lantis, Audio Tanaka",HAL Film Maker,Manga,"Action, Drama, Romance, Supernatural",29 min. per ep.,6.24,27355,84982,3219
52,Kidou Tenshi Angelic Layer,26,TV,"Apr 1, 2001 to Sep 23, 2001","Dentsu, TV Tokyo Music",Bones,Manga,"Award Winning, Comedy, Drama, Sci-Fi",24 min. per ep.,7.26,29474,29932,2936
53,Ai Yori Aoshi,24,TV,"Apr 11, 2002 to Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,"Comedy, Drama, Romance",23 min. per ep.,7.10,54569,38252,1994
54,Appleseed (Movie),1,Movie,"Apr 17, 2004","Mainichi Broadcasting System, TOHO, TYO Animations, TYO, Geneon Entertainment",Digital Frontier,Manga,"Action, Sci-Fi",1 hr. 45 min.,7.05,42073,40552,2578
55,Arc the Lad,26,TV,"Apr 5, 1999 to Oct 11, 1999","Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",Bee Train,Game,"Action, Adventure, Fantasy, Horror, Sci-Fi",22 min. per ep.,6.49,6396,70362,5328
56,Avenger,13,TV,"Oct 2, 2003 to Dec 25, 2003",Yomiko Advertising,Bee Train,Original,"Adventure, Fantasy, Sci-Fi",23 min. per ep.,5.86,7248,104562,5188
57,Beck,26,TV,"Oct 7, 2004 to Mar 31, 2005","Marvelous Entertainment, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,,25 min. per ep.,8.29,143597,2862,709
58,Blue Gender,26,TV,"Oct 8, 1999 to Mar 31, 2000","Youmex, Toshiba EMI",AIC,Original,"Action, Adventure, Drama, Horror, Sci-Fi",23 min. per ep.,7.01,31136,42712,2414
